RecNum, LahmanID, Year, Team, Lg
1,averiea01,1933,CLE,A
2,chapmbe01,1933,NY,A
3,cronijo01,1933,WAS,A
4,crowdal01,1933,WAS,A
5,dickebi01,1933,NY,A
6,dykesji01,1933,CHI,A
7,ferreri01,1933,BOS,A
8,ferrewe01,1933,CLE,A
9,foxxji01,1933,PHI,A
10,gehrich01,1933,DET,A
11,gehrilo01,1933,NY,A
12,gomezle01,1933,NY,A
13,grovele01,1933,PHI,A
14,hildeor01,1933,CLE,A
15,lazzeto01,1933,NY,A
16,ruthba01,1933,NY,A
17,simmoal01,1933,CHI,A
18,westsa01,1933,STL,A
19,bartedi01,1933,PHI,N
20,bergewa01,1933,BOS,N
21,cuccito01,1933,BRO,N
22,engliwo01,1933,CHI,N
23,friscfr01,1933,STL,N
24,hafeych01,1933,CIN,N
25,hallabi01,1933,STL,N
26,hartnga01,1933,CHI,N
27,hubbeca01,1933,NY,N
28,kleinch01,1933,PHI,N
29,martipe01,1933,STL,N
30,o'doule01,1933,NY,N
31,schumha02,1933,NY,N
32,terrybi01,1933,NY,N
33,traynpi01,1933,PIT,N
34,wanerpa01,1933,PIT,N
35,warnelo01,1933,CHI,N
36,wilsoji01,1933,STL,N
37,averiea01,1934,CLE,A
38,bridgto01,1934,DET,A
39,chapmbe01,1934,NY,A
40,cochrmi01,1934,DET,A
41,cronijo01,1934,WAS,A
42,dickebi01,1934,NY,A
43,dykesji01,1934,CHI,A
44,ferreri01,1934,BOS,A
45,foxxji01,1934,PHI,A
46,gehrich01,1934,DET,A
47,gehrilo01,1934,NY,A
48,gomezle01,1934,NY,A
49,hardeme01,1934,CLE,A
50,higgipi01,1934,PHI,A
51,manushe01,1934,WAS,A
52,ruffire01,1934,NY,A
53,russeja01,1934,WAS,A
54,ruthba01,1934,NY,A
55,simmoal01,1934,CHI,A
56,westsa01,1934,STL,A
57,bergewa01,1934,BOS,N
58,cuyleki01,1934,CHI,N
59,deandi01,1934,STL,N
60,frankfr02,1934,BOS,N
61,friscfr01,1934,STL,N
62,hartnga01,1934,CHI,N
63,hermabi01,1934,CHI,N
64,hubbeca01,1934,NY,N
65,jackstr01,1934,NY,N
66,kleinch01,1934,CHI,N
67,lopezal01,1934,BRO,N
68,martipe01,1934,STL,N
69,medwijo01,1934,STL,N
70,moorejo02,1934,NY,N
71,mungova01,1934,BRO,N
72,ottme01,1934,NY,N
73,terrybi01,1934,NY,N
74,traynpi01,1934,PIT,N
75,vaughar01,1934,PIT,N
76,wanerpa01,1934,PIT,N
77,warnelo01,1934,CHI,N
78,averiea01,1935,CLE,A
79,bluegos01,1935,WAS,A
80,bridgto01,1935,DET,A
81,chapmbe01,1935,NY,A
82,cochrmi01,1935,DET,A
83,cramedo01,1935,PHI,A
84,cronijo01,1935,BOS,A
85,ferreri01,1935,BOS,A
86,foxxji01,1935,PHI,A
87,gehrich01,1935,DET,A
88,gehrilo01,1935,NY,A
89,gomezle01,1935,NY,A
90,grovele01,1935,BOS,A
91,hardeme01,1935,CLE,A
92,hemslro01,1935,STL,A
93,johnsbo01,1935,PHI,A
94,myerbu01,1935,WAS,A
95,rowesc01,1935,DET,A
96,simmoal01,1935,CHI,A
97,vosmijo01,1935,CLE,A
98,westsa01,1935,STL,A
99,bergewa01,1935,BOS,N
100,colliri02,1935,STL,N
101,deandi01,1935,STL,N
102,derripa01,1935,CIN,N
103,friscfr01,1935,STL,N
104,hartnga01,1935,CHI,N
105,hermabi01,1935,CHI,N
106,hubbeca01,1935,NY,N
107,mancugu01,1935,NY,N
108,martipe01,1935,STL,N
109,medwijo01,1935,STL,N
110,moorejo02,1935,NY,N
111,ottme01,1935,NY,N
112,schumha02,1935,NY,N
113,terrybi01,1935,NY,N
114,vaughar01,1935,PIT,N
115,walkebi01,1935,STL,N
116,wanerpa01,1935,PIT,N
117,whitebu01,1935,STL,N
118,wilsoji01,1935,PHI,N
119,applilu01,1936,CHI,A
120,averiea01,1936,CLE,A
121,bridgto01,1936,DET,A
122,chapmbe01,1936,WAS,A
123,crosefr01,1936,NY,A
124,dickebi01,1936,NY,A
125,dimagjo01,1936,NY,A
126,ferreri01,1936,BOS,A
127,foxxji01,1936,BOS,A
128,gehrich01,1936,DET,A
129,gehrilo01,1936,NY,A
130,gomezle01,1936,NY,A
131,gosligo01,1936,DET,A
132,grovele01,1936,BOS,A
133,hardeme01,1936,CLE,A
134,hemslro01,1936,STL,A
135,higgipi01,1936,PHI,A
136,kenneve01,1936,CHI,A
137,pearsmo01,1936,NY,A
138,radclri01,1936,CHI,A
139,rowesc01,1936,DET,A
140,selkige01,1936,NY,A
141,bergewa01,1936,BOS,N
142,colliri02,1936,STL,N
143,daviscu01,1936,CHI,N
144,deandi01,1936,STL,N
145,demarfr02,1936,CHI,N
146,durocle01,1936,STL,N
147,galanau01,1936,CHI,N
148,hartnga01,1936,CHI,N
149,hermabi01,1936,CHI,N
150,hubbeca01,1936,NY,N
151,lombaer01,1936,CIN,N
152,martist01,1936,STL,N
153,medwijo01,1936,STL,N
154,moorejo02,1936,NY,N
155,mungova01,1936,BRO,N
156,ottme01,1936,NY,N
157,riggsle01,1936,CIN,N
158,suhrgu01,1936,PIT,N
159,vaughar01,1936,PIT,N
160,warnelo01,1936,CHI,N
161,whitnpi01,1936,PHI,N
162,averiea01,1937,CLE,A
163,bellbe01,1937,STL,A
164,bridgto01,1937,DET,A
165,cliftha01,1937,STL,A
166,cramedo01,1937,BOS,A
167,cronijo01,1937,BOS,A
168,dickebi01,1937,NY,A
169,dimagjo01,1937,NY,A
170,ferreri01,1937,WAS,A
171,ferrewe01,1937,WAS,A
172,foxxji01,1937,BOS,A
173,gehrich01,1937,DET,A
174,gehrilo01,1937,NY,A
175,gomezle01,1937,NY,A
176,greenha01,1937,DET,A
177,grovele01,1937,BOS,A
178,hardeme01,1937,CLE,A
179,moseswa01,1937,PHI,A
180,murphjo04,1937,NY,A
181,myerbu01,1937,WAS,A
182,rolfere01,1937,NY,A
183,sewellu01,1937,CHI,A
184,stratmo01,1937,CHI,A
185,walkege02,1937,DET,A
186,westsa01,1937,STL,A
187,bartedi01,1937,NY,N
188,blantcy01,1937,PIT,N
189,colliri02,1937,CHI,N
190,deandi01,1937,STL,N
191,demarfr02,1937,CHI,N
192,grissle01,1937,CIN,N
193,hartnga01,1937,CHI,N
194,hermabi01,1937,CHI,N
195,hubbeca01,1937,NY,N
